user_id,bio,age,gender,country,state,city,interests,connections
11,I enjoy developer education and product advocacy,30,male,Nigeria,Abuja Federal Capital Territory,Kubwa,"['Car Enthusiasts', 'Leadership and Mentoring', 'Furniture Making', 'DIY Home Decor', 'Mental Health Awareness', 'Public Speaking', 'Coaching and Mentoring', 'Mentorship', 'Work-Life Balance', 'Charitable Organizations', 'Spiritual Growth', 'Cloud Computing', 'Software Engineering', 'Gaming Consoles and Accessories', 'Budget Travel', 'Travel Photography', 'Destination Reviews']","[6, 1, 5, 10, 15, 9, 14, 16, 4, 34, 44, 23, 7, 67, 36, 2, 60, 45, 32, 12]"
12,Will tell you later or you can DM to ask,22,male,Nigeria,Lagos,Alimosho,"['Startup Founders', 'Small Business Owners', 'Business Strategy and Management', 'Movies and TV Shows', 'Music and Concerts', 'Comedy', 'Fashion Trends', 'Historical Events', 'Language Immersion Programs', 'Dating and Relationships', 'Eco-Friendly Living']","[6, 1, 5, 10, 11, 15, 16, 4, 26, 36, 34, 41, 44, 40, 21, 56, 74, 96, 32, 12, 13, 152]"
13,,24,female,Nigeria,Lagos,Lekki,"['Fashion Trends', 'Haircare', 'Nail Art', 'Nutrition and Diet', 'Personal Development', 'Personal Finance', 'Career Development', 'Work-Life Balance', 'Web Development', 'Software Engineering', 'Smartphones and Mobile Devices', 'Smart Home Devices', 'Virtual Reality (VR) and Augmented Reality (AR)', 'Software and Apps', 'Budget Travel', 'Travel Tips and Hacks', 'Destination Reviews']","[1, 5, 10, 15, 16, 4, 36, 34, 44, 56, 3, 74, 78, 28, 23, 32, 40, 51, 12, 152]"
14,no comment,18,male,Nigeria,Lagos,Lekki,"['Astronomy and Space', 'Biology and Medicine', 'Environmental Science', 'Physics and Chemistry', 'History and Archaeology', 'Mathematics', 'Language Learning', 'Educational Courses and Tutorials', 'Smartphones and Mobile Devices', 'Computers and Laptops', 'Smart Home Devices', 'Wearable Technology', 'Virtual Reality (VR) and Augmented Reality (AR)', 'Gaming Consoles and Accessories', 'Software and Apps', 'Tech News and Reviews']","[16, 4, 34, 9, 1, 11, 5, 56, 26, 3, 40, 13, 32]"
15,No.1 Forex trader and tech bro!!!!!!!!!!!!!!!!!,26,male,Nigeria,Lagos,Ebute Ikorodu,"['Computers and Laptops', 'Wearable Technology', 'Virtual Reality (VR) and Augmented Reality (AR)', 'Software and Apps']","[1, 9, 5, 16, 4, 36, 34, 39, 44, 43, 21, 11, 2, 40, 60, 7, 13, 74, 3, 41, 78, 10, 98, 107, 32, 18]"
16,space for impact.,27,male,Nigeria,Lagos,Epe,"['Car Enthusiasts', 'Motorcycles', 'Electric Vehicles', 'Car Restoration', 'Off-Roading', 'Startup Founders', 'Small Business Owners', 'Investment and Venture Capital', 'Business Strategy and Management', 'Marketing and Sales', 'E-commerce', 'Business Networking', 'Goal Setting', 'Time Management', 'Dog Owners', 'Cat Lovers']","[1, 15, 4, 9, 13, 11, 2, 3, 10, 32]"
17,,23,male,Nigeria,Lagos,Victoria Island,"['Literature and Poetry', 'Visual Arts', 'Motorcycles', 'Off-Roading']","[4, 1, 32]"
18,Life Force of Gopaddi!!!,29,male,Nigeria,Lagos,Lekki,"['Literature and Poetry', 'Visual Arts', 'Music and Instrumental', 'Theater and Performing Arts', 'Film and Documentary', 'Cultural Festivals', 'Art Exhibitions', 'Craftsmanship', 'Car Enthusiasts', 'Motorcycles', 'Electric Vehicles', 'Car Restoration', 'Off-Roading', 'Automotive News and Reviews', 'Motorsport', 'Vehicle Maintenance and Repair']","[1, 4, 5, 44, 40, 2, 36, 56, 28, 15, 32, 62]"
19,,24,male,Nigeria,Lagos,Ikeja,"['Music and Instrumental', 'Film and Documentary', 'Movies and TV Shows', 'Music and Concerts', 'Anime and Manga', 'Team Sports (e.g. soccer basketball)', 'Swimming', 'Fitness and Bodybuilding', 'Web Development', 'Mobile App Development', 'Software Engineering']","[4, 5, 1, 21, 56, 3, 2, 32]"
20,,,,,,,[],"[4, 32]"
21,Software Developer,24,male,Nigeria,Lagos,Ikeja,"['Car Enthusiasts', 'Team Sports (e.g. soccer basketball)', 'Computers and Laptops']","[15, 4, 5, 1, 34, 22, 40, 74, 56, 62, 78, 32]"
22,,30,male,Nigeria,Lagos,Surulere,"['Electric Vehicles', 'Car Restoration', 'Stock Market', 'Real Estate Investment', 'Renewable Energy', 'Zero Waste Lifestyle', 'Sustainable Agriculture', 'Green Building', 'Environmental Policy', 'Eco-Friendly Products', 'Climate Change Action', 'Conservation Efforts']","[4, 1, 21, 2, 56, 32]"
23,First Gopaddi influencer.,26,female,Nigeria,Lagos,Lekki,"['Sustainable Fashion', 'Fashion Design', 'Productivity Hacks', 'Public Speaking', 'Entrepreneurship', 'Networking', 'Career Development', 'Job Hunting']","[4, 5, 1, 19, 36, 34, 40, 44, 23, 11, 59, 7, 68, 60, 74, 26, 13, 78, 41, 28, 69, 45, 32]"
24,,52,male,Nigeria,Lagos,Ikeja,[],"[4, 1, 32]"
25,Follow me,52,male,Nigeria,Lagos,Victoria Island,"['Specific Fandoms (e.g. Harry Potter Star Wars)', 'Smartphones and Mobile Devices', 'Adventure Travel', 'Cultural Travel', 'Budget Travel']","[4, 1, 32]"
26,Technified,34,male,Nigeria,Kano,Kano,"['Business Strategy and Management', 'Marketing and Sales', 'Movies and TV Shows', 'Music and Concerts', 'Wine and Beer Tasting', 'Spiritual Healing']","[1, 4, 41, 5, 3, 10, 78, 45, 32]"
27,,22,male,Nigeria,Lagos,Lekki,"['Visual Arts', 'Art Exhibitions', 'Motorcycles', 'Electric Vehicles']","[8, 28, 4, 36, 34, 39, 26, 35, 6, 44, 43, 1, 5, 15, 59, 2, 69, 74, 23, 56, 41, 78, 60, 79, 104, 88, 107, 45, 32, 152, 146]"
28,,26,male,Nigeria,Lagos,Ikeja,"['Gaming', 'Body Positivity', 'Entrepreneurship']","[4, 1, 2, 78, 10, 42, 88, 32]"
29,,31,male,Germany,Lower Saxony,Wolfsburg,"['Literature and Poetry', 'Team Sports (e.g. soccer basketball)', 'Fitness and Bodybuilding', 'Web Development']","[36, 4, 1, 28, 3, 32]"
30,,29,male,Nigeria,Lagos,Ipaja,"['Software Engineering', 'Programming Languages', 'Computers and Laptops', 'Software and Apps']","[1, 4, 32]"
31,,,,,,,[],[4]
32,Hello World!,24,male,Nigeria,Akwa Ibom,Uyo,"['Visual Arts', 'Music and Instrumental', 'Motorcycles', 'Electric Vehicles']","[4, 1, 32, 56, 18, 16, 22]"
33,,,,,,,[],[4]
34,"Risk Taker, Adventurer, Globetrotter",28,male,Nigeria,Lagos,Lekki,"['Fiction Writing', 'Media Critique and Analysis', 'Historical Events']","[4, 12, 15, 10, 40, 41, 6, 9, 36, 14, 1, 5, 21, 11, 59, 2, 23, 7, 69, 3, 32, 130, 51, 152]"
35,dsfadfdfdf,38,male,India,Maharashtra,Nashik,"['Visual Arts', 'Startup Founders', 'Small Business Owners', 'Investment and Venture Capital', 'Business Strategy and Management']","[6, 4, 44, 1, 11, 60, 5, 74, 10, 107, 13, 45, 32, 16]"
36,I love nature,24,male,Nigeria,Lagos,Lagos,"['Literature and Poetry', 'Film and Documentary', 'Movies and TV Shows', 'Music and Concerts']","[34, 15, 9, 13, 4, 43, 1, 44, 5, 28, 23, 3, 74, 78, 18, 10, 32, 56]"
37,,,,,,,[],"[4, 32]"
38,"What do you call a person who’s got ☕️ in one hand, a ⌨️ in the other, and way too many dad jokes? Yep, you found me! 😆👋",19,male,Nigeria,Ekiti,Ado-Ekiti,"['Literature and Poetry', 'Visual Arts', 'Craftsmanship']","[1, 4, 68, 6, 2, 78, 41, 5, 40, 32, 62, 16, 73]"
39,,27,female,Nigeria,Lagos,Lagos,"['Film and Documentary', 'Business Strategy and Management', 'Business Networking', 'Movies and TV Shows', 'Fashion Trends']","[4, 1, 59, 2, 73, 3, 78, 69, 10, 6, 32, 146, 26]"
40,D,23,male,Nigeria,Lagos,Lekki,"['Car Enthusiasts', 'Scrapbooking', 'Fiction Writing']","[34, 19, 36, 9, 13, 4, 1, 42, 5, 23, 56, 18, 10, 57, 32, 2, 40, 12]"
41,"A specialty technical products sales expert with years of demonstrated success in crafting, personalizing and making aggressive sales strategies to routinely exceed corporate quotas. Passionate about developing long-term customer relationship which promotes organizational value

A sales magnet par excellent.",41,male,Nigeria,Lagos,Ikeja,"['Music and Instrumental', 'Film and Documentary', 'Startup Founders', 'Small Business Owners', 'Investment and Venture Capital', 'Business Strategy and Management', 'Marketing and Sales', 'Business Networking', 'Leadership and Mentoring', 'Child Development', 'Work-Life Balance for Parents', 'Family Activities and Outings', 'Goal Setting', 'Time Management', 'Productivity Hacks', 'Mindset and Motivation', 'Public Speaking', 'Coaching and Mentoring', 'Life Skills', 'Networking', 'Career Development']","[4, 34, 1, 2, 5, 26, 10, 3, 32, 51, 12]"
42,Hello World,60,male,Nigeria,Abuja Federal Capital Territory,Abuja,"['Music and Instrumental', 'Car Enthusiasts', 'Electric Vehicles', 'Automotive News and Reviews', 'Startup Founders', 'Small Business Owners', 'Business Strategy and Management', 'E-commerce', 'Leadership and Mentoring', 'Music and Concerts', 'Industry-Specific Groups (e.g. tech finance)', 'Web Development', 'Mobile App Development', 'Data Science and Machine Learning', 'Cybersecurity', 'Cloud Computing', 'Software Engineering', 'Programming Languages', 'Software and Apps']","[4, 44, 1, 40, 2, 5, 28, 13, 32]"
43,"Just a baibeegirlie trying to love her soft life and have fun, no stress please",28,female,Nigeria,Lagos,Ogba,"['Gourmet Cooking', 'Wine and Beer Tasting', 'Coffee Lovers', 'Food Photography']","[4, 1, 40, 15, 6, 36, 74, 5, 78, 107, 13, 32, 26]"
44,,19,male,Canada,Ontario,Hamilton,"['Startup Founders', 'Small Business Owners', 'Investment and Venture Capital', 'Book Clubs', 'Stock Market', 'Cryptocurrency', 'Investment Strategies', 'Parenting', 'Personal Finance', 'Urban Living', 'Astronomy and Space', 'Mathematics', 'Meditation and Mindfulness', 'Spiritual Growth', 'Gaming Consoles and Accessories', 'Software and Apps', 'Tech News and Reviews', 'Luxury Travel', 'Travel Tips and Hacks', 'Travel Photography']","[4, 43, 1, 42, 8, 5, 11, 28, 23, 60, 36, 13, 74, 3, 18, 78, 10, 107, 45, 32]"
45,,32,male,Nigeria,Delta,Patani,"['Literature and Poetry', 'Visual Arts', 'Music and Instrumental', 'Car Enthusiasts']","[4, 34, 1, 32, 13]"
46,,,,,,,[],[4]
47,You Got This!!!,37,male,Nigeria,Lagos,Surulere,"['Visual Arts', 'Music and Instrumental', 'Film and Documentary', 'Cultural Festivals', 'Adventure Travel', 'Road Trips', 'Destination Reviews']","[1, 4, 2, 34, 5, 56, 41, 10, 3, 15, 13, 32, 69]"
48,,,,,,,[],[4]
49,<HelloWorld />,29,male,Nigeria,Lagos,Eti-Osa,"['Movies and TV Shows', 'Music and Concerts', 'Freelancing', 'Networking', 'Industry-Specific Groups (e.g. tech finance)', 'Mentorship']","[1, 4, 56, 5, 74, 78, 40, 32]"
50,,,,,,,[],[4]
51,,33,male,Nigeria,Abuja Federal Capital Territory,Abuja,"['Car Enthusiasts', 'Electric Vehicles', 'Off-Roading', 'Automotive News and Reviews', 'Vehicle Maintenance and Repair', 'Startup Founders', 'Small Business Owners', 'Investment and Venture Capital', 'Business Strategy and Management', 'Marketing and Sales', 'E-commerce', 'Business Networking', 'Leadership and Mentoring', 'Furniture Making', 'Landscaping and Gardening', 'Upcycling and Recycling', 'Movies and TV Shows', 'Celebrity News and Gossip', 'New Parents', 'Parenting Teens', 'Child Development', 'Religious Study Groups', 'Spiritual Growth', 'Team Sports (e.g. soccer basketball)', 'Swimming', 'Web Development', 'Mobile App Development', 'Cybersecurity', 'Smartphones and Mobile Devices', 'Computers and Laptops', 'Smart Home Devices', 'Adventure Travel', 'Travel Photography']","[4, 1, 5, 74, 41, 3, 34, 32, 13, 152]"
52,"🧠 Dreamer. Designer.
😍 Margot Robbie's secret admirer.",24,male,Nigeria,Osun,Ile-Ife,"['Art Exhibitions', 'Motorcycles', 'Electric Vehicles', 'Car Restoration']","[1, 4, 68, 5, 74, 32]"
53,,,,,,,[],"[4, 32]"
54,,,,,,,[],"[1, 4]"
55,,27,female,Nigeria,Lagos,Lagos Island,"['Literature and Poetry', 'Fiction Writing', 'Non-Fiction Writing']","[4, 1, 32]"
56,,22,male,Nigeria,Lagos,Agege,"['Car Enthusiasts', 'Motorsport', 'Business Strategy and Management', 'Team Sports (e.g. soccer basketball)']","[4, 1, 5, 78, 36, 18, 10, 3, 49, 32, 62, 22]"
57,,20,male,Nigeria,Cross River,Calabar,"['Web Development', 'Mobile App Development', 'Data Science and Machine Learning', 'Cloud Computing', 'Software Engineering', 'Hackathons and Coding Challenges', 'Adventure Travel', 'Cultural Travel', 'Budget Travel', 'Travel Tips and Hacks', 'Travel Photography', 'Destination Reviews']","[4, 1, 34, 5, 56, 32, 146]"
58,,25,male,Nigeria,Lagos,Ikeja,"['Visual Arts', 'Cultural Festivals', 'Art Exhibitions', 'Car Enthusiasts', 'Motorsport', 'Business Strategy and Management', 'E-commerce', 'Business Networking', 'Leadership and Mentoring', 'DIY Home Decor', 'Sustainable Living Projects', 'Movies and TV Shows', 'Music and Concerts', 'Comedy', 'Celebrity News and Gossip', 'Podcasts', 'Fashion Trends', 'Personal Styling', 'Fashion Design', 'Documentary Filmmaking', 'Video Editing', 'Cinematography', 'Cryptocurrency', 'Real Estate Investment', 'Personal Finance Management', 'Budgeting and Saving', 'Investment Strategies', 'Wine and Beer Tasting', 'Restaurant Reviews', 'International Cuisine', 'Nutrition and Diet', 'Mental Health', 'Fitness Challenges', 'Personal Development', 'Sleep and Relaxation', 'Wellness Retreats', 'Historical Events', 'Genealogy', 'Cultural Studies', 'Ancient Civilizations', 'DIY and Crafts', 'Reading and Book Clubs', 'Gaming', 'Collecting (e.g. stamps coins)', 'Painting and Drawing', 'Camping and Backpacking', 'Nature Photography', 'National Parks Exploration', 'Cycling', 'Hiking and Outdoor Activities', 'Team Sports (e.g. soccer basketball)', 'Swimming', 'Fitness and Bodybuilding', 'Dance', 'Adventure Travel', 'Cultural Travel', 'Budget Travel', 'Luxury Travel', 'Road Trips', 'Travel Tips and Hacks', 'Travel Photography', 'Destination Reviews']","[4, 1, 2, 56, 5, 3, 32]"
59,,39,female,Nigeria,Oyo,Ibadan,"['Literature and Poetry', 'Visual Arts', 'Art Exhibitions', 'Pottery and Ceramics', 'Poetry', 'Book Clubs', 'Writing Prompts and Challenges', 'DIY Home Decor', 'Movies and TV Shows', 'Music and Concerts', 'Theater and Performing Arts', 'Podcasts', 'New Parents', 'Educational Resources for Kids', 'Work-Life Balance for Parents', 'Skincare and Makeup', 'Personal Styling', 'Haircare', 'Nail Art', 'Fashion Design', 'Gourmet Cooking', 'Coffee Lovers', 'Food Photography', 'Restaurant Reviews', 'Nutrition and Diet', 'Meditation and Mindfulness', 'Painting and Drawing', 'Holistic Health', 'Time Management', 'Productivity Hacks', 'Travel Tips and Hacks']","[4, 1, 23, 69, 34, 78, 3, 5, 45, 32, 13, 146]"
60,♡“Life imitates art”♡,25,male,India,Maharashtra,Nashik,"['Visual Arts', 'Cultural Festivals', 'Art Exhibitions']","[4, 1, 5, 23, 107, 15, 78, 32]"
61,,24,male,Nigeria,Lagos,Lekki,"['Literature and Poetry', 'Visual Arts', 'Music and Instrumental', 'Skincare and Makeup']","[1, 4, 13, 32]"
62,"God. 
Feminist.
Kindness.",22,female,Nigeria,Lagos,Eti-Osa,"['Car Enthusiasts', 'Motorsport', 'Running', 'Eco-Friendly Products', 'Smartphones and Mobile Devices']","[4, 1, 5, 64, 36, 56, 41, 78, 32, 38, 6, 18, 146]"
63,,24,female,Nigeria,Lagos,Yaba,[],"[4, 1, 62, 32]"
64,,24,female,Nigeria,Lagos,Ikeja,"['Fashion Trends', 'Personal Styling', 'Beauty Tutorials', 'Haircare', 'Fashion Design', 'Investment Strategies', 'Public Speaking', 'Coaching and Mentoring', 'Networking', 'Career Development', 'Fitness and Bodybuilding', 'Dance', 'Web Development', 'Data Science and Machine Learning', 'Software Engineering', 'Programming Languages']","[4, 1, 62, 74, 3, 32]"
65,,22,male,Nigeria,Oyo,Ibadan,"['Music and Instrumental', 'Film and Documentary', 'Electric Vehicles', 'Motorsport', 'Food Photography', 'Team Sports (e.g. soccer basketball)', 'Smart Home Devices', 'Gaming Consoles and Accessories']","[1, 4, 59, 62, 2, 3, 32]"
67,,24,male,India,Madhya Pradesh,Indore,"['Adventure Travel', 'Cultural Travel', 'Budget Travel', 'Luxury Travel', 'Destination Reviews']","[4, 1, 74, 56, 69, 3, 13, 45, 32]"
68,,26,male,Nigeria,Oyo,Ibadan,"['Film and Documentary', 'Art Exhibitions', 'Car Enthusiasts', 'Startup Founders', 'Business Strategy and Management', 'Business Networking', 'Movies and TV Shows', 'Music and Concerts', 'Comedy', 'Anime and Manga', 'Fashion Trends', 'Dog Owners', 'Smartphones and Mobile Devices', 'Computers and Laptops', 'Software and Apps', 'Adventure Travel', 'Budget Travel', 'Luxury Travel', 'Road Trips']","[4, 5, 1, 74, 38, 23, 32]"
69,Art.,24,male,Nigeria,Lagos,Ikeja,"['Literature and Poetry', 'Visual Arts', 'Music and Instrumental', 'Theater and Performing Arts', 'Film and Documentary', 'Cultural Festivals', 'Art Exhibitions', 'Craftsmanship', 'Fiction Writing', 'Poetry', 'Non-Fiction Writing', 'Book Clubs', 'Literary Analysis', 'Writing Workshops', 'Publishing and Self-Publishing']","[4, 59, 34, 1, 74, 78, 23, 3, 5, 32, 86]"
70,,24,female,Nigeria,Lagos,Ikeja,"['Visual Arts', 'Music and Instrumental', 'Theater and Performing Arts', 'Cultural Festivals', 'Car Enthusiasts', 'Automotive News and Reviews', 'Vehicle Maintenance and Repair', 'Small Business Owners', 'Business Strategy and Management', 'Marketing and Sales', 'E-commerce', 'Business Networking', 'Leadership and Mentoring', 'Jewelry Making', 'Candle Making', 'Textile Arts', 'Fiction Writing', 'Poetry', 'Home Renovation', 'Furniture Making', 'DIY Home Decor', 'Movies and TV Shows', 'Music and Concerts', 'Comedy', 'Podcasts', 'Child Development', 'Educational Resources for Kids', 'Skincare and Makeup', 'Personal Styling', 'Nail Art', 'Fashion Design', 'Documentary Filmmaking', 'Video Editing', 'Cinematography', 'Podcast Production', 'Personal Finance Management', 'Budgeting and Saving', 'Financial Independence', 'Investment Strategies', 'Gourmet Cooking', 'Baking', 'Wine and Beer Tasting', 'Restaurant Reviews', 'Historical Events', 'Cultural Studies', 'Preservation and Restoration', 'DIY and Crafts', 'Photography', 'Gaming', 'Painting and Drawing', 'Cultural Exchange', 'Linguistics', 'Multilingual Communities', 'Language Teaching Resources', 'Dating and Relationships', 'Home Decor and Interior Design', 'Fashion and Style', 'Personal Finance', 'Physical Fitness Challenges', 'Body Positivity', 'Mind-Body Connection', 'Camping and Backpacking', 'Fishing and Hunting', 'Wildcrafting and Foraging', 'Goal Setting', 'Time Management', 'Coaching and Mentoring', 'Life Skills', 'Dog Owners', 'Exotic Pets', 'Pet Training and Behavior', 'Entrepreneurship', 'Networking', 'Mentorship', 'Environmental Science', 'Mathematics', 'Language Learning', 'Educational Courses and Tutorials', 'Human Rights', 'Political Activism', 'Community Service', 'Diversity and Inclusion', 'Unique Hobbies (e.g. urban beekeeping rock balancing)', 'Yoga and Spiritual Practices', 'Religious Study Groups', 'Spiritual Growth', 'Running', 'Yoga and Pilates', 'Swimming', 'Dance', 'Climate Change Action', 'Web Development', 'Cybersecurity', 'Smartphones and Mobile Devices', 'Cultural Travel', 'Budget Travel', 'Road Trips', 'Destination Reviews']","[1, 4, 56, 41, 69, 5, 15, 32]"
71,,,,,,,[],[4]
72,,21,male,Nigeria,Oyo,Ibadan,"['Literature and Poetry', 'Music and Instrumental', 'Art Exhibitions', 'Theater and Performing Arts', 'Team Sports (e.g. soccer basketball)', 'Fitness and Bodybuilding']","[62, 4, 32]"
73,undefined,25,male,Nigeria,Osun,Osogbo,"['Literature and Poetry', 'Visual Arts', 'Music and Instrumental', 'Craftsmanship', 'Car Enthusiasts', 'Motorcycles', 'Electric Vehicles', 'Automotive News and Reviews', 'Historical Events', 'Archaeology', 'Ancient Civilizations']","[1, 4, 69, 32, 6]"
